to compete,competir,concurreren
to draw,dibujar,tekenen
to take photos,sacar fotos,foto's maken
to play basketball,jugar al baloncesto,basketballen
to cook,cocinar,koken
to write,escribir,schrijven
to play sports,practicar deportes,sporten
to play the piano,tocar el piano,piano spelen
to dance,bailar,dansen
to swim,nadar,zwemmen
to fish,pescar,vissen
to scuba dive,bucear,duiken
to jog,trotar,joggen
to sing,cantar,zingen
to knit,tejer,breien
to go to the museum,ir al museo,naar het museum gaan
to collect coins,coleccionar monedas,munten verzamelen
to play soccer,jugar al fútbol,voetballen
to play board games,jugar juegos de mesa,bordspellen spelen
to do yoga,hacer yoga,yoga doen
to act,actuar,acteren
to learn languages,aprender idiomas,talen leren
to make handicrafts,hacer manualidades,handwerken
to watch movies,ver películas,films kijken
to climb,trepar,klimmen
to hang out with friends,juntarse con amigos,met vrienden omgaan
to go skydiving,hacer paracaidismo,parachute springen
to skate,patinar,schaatsen
to play,jugar,spelen
to skip,brincar,overslaan
to jump,saltar,springen
to hop,saltar a la pata coja,hinkelen
tag,el corre que te pillo,tikkertje
to hide,esconder,verstoppen
hide-and-seek,las escondidas,verstoppertje
swing,el columpio,schommel
sandbox,el cajón de arena,zandbak
playground,el parque infantil,speeltuin
to push,empujar,duwen
to pull,jalar,trekken
toy,el juguete,speelgoed
Frisbee,el frisbee,frisbee
rope,la cuerda,touw
tree house,casa del árbol,boomhut
roller coaster,la montaña rusa,achtbaan
Ferris wheel,la noria,reuzenrad
carousel,el carrusel,carrousel
slide,el tobogán,glijbaan
bumper cars,carros chocones,botsauto's
acrobat,el/la acróbata,acrobaat
clown,el payaso,clown
popcorn,el popcorn,popcorn
costume,el disfraz,kostuum
stilt,el zanco,stelt
trapeze,el trapecio,trapeze
magician,el mago,goochelaar
juggler,el/la malabarista,jongleur
cotton candy,el dulce de algodón,suikerspin
prize,el premio,prijs
food court,plaza de comida,food court
games of chance,los juegos de azar,kansspelen
to ride,montar,rijden
fireworks,los fuegos artificiales,vuurwerk
arts and crafts,las manualidades,knutselen
to sunbathe,tomar el sol,zonnen
to tell stories,contar cuentos,verhalen vertellen
climbing,la escalada,klimmen
mountain climbing,el montañismo,bergbeklimmen
mountaineering,el alpinismo,bergsport
to play golf,jugar al golf,golfen
to play volleyball,jugar al voleibol,volleyballen
piccolo,el flautín,piccolo
to drive,conducir,rijden
to shoot,disparar,schieten
networking,la creación de una red de contactos,netwerken
to talk on the phone,hablar por teléfono,telefoneren
to jump rope,saltar a la cuerda,touwtje springen
