to come,venir,komen
to put,poner,zetten
to see,ver,zien
to wake up,despertar,wakker worden
to question,cuestionar,in twijfel trekken
to start,comenzar,beginnen
to write,escribir,schrijven
to turn into,convertir,veranderen in
to wash,lavar,wassen
to study,estudiar,studeren
to wait for,esperar,wachten op
to ask for,pedir,vragen om
to get,conseguir,krijgen
to use,usar,gebruiken
to sit,sentar,zitten
to try,probar,proberen
to cook,cocinar,koken
to dance,bailar,dansen
to help,ayudar,helpen
to contain,contener,bevatten
to need,necesitar,nodig hebben
to take,llevar,nemen
to count,contar,tellen
to look for,buscar,zoeken naar
to eat,comer,eten
to sleep,dormir,slapen
to travel,viajar,reizen
to have,haber,hebben
to learn,aprender,leren
to hear,oír,horen
to take,tomar,nemen
to call,llamar,bellen
to walk,caminar,lopen
to work,trabajar,werken
to know,conocer,kennen
to play,jugar,spelen
to know,saber,weten
to go out,salir,uitgaan
to describe,describir,beschrijven
to speak,hablar,spreken
to like,gustar,leuk vinden
to buy,comprar,kopen
to give,dar,geven
to want,querer,willen
to say,decir,zeggen
to have,tener,hebben
to do,hacer,doen
to go,ir,gaan
to be,estar,zijn
to be,ser,zijn
